scientific_name	AphiaID
Acanthocorbis asymmetrica	105543
Achnanthes brevipes	149387
Achnanthes longipes	156533
Achnanthes minutissima	163582
Actinocyclus octonarius	149164
Actinomonas	369319
Amphiprora paludosa	149514
Anabaena solitaria	578207
Ankyra	572079
Apedinella spinifera	248098
Aphanizomenon balticum	625384
Apocalathium	1359178
Asterionella	148953
Aulacoseira italica var. tenuissima	179317
Bacillariales	149001
Balanion	292899
Bicosta	105505
Biecheleria halophila	626298
Biota	12
Bitrichia	578212
Bitrichia chodatii	578213
Bitrichia phaseolus	620901
Botryococcus braunii	248104
Cafeteria	103989
Caloneis	149488
Calycomonas wulffii	160549
Centritractus	163946
Centritractus belonophorus	610306
Ceratium bucephalum	196820
Ceratium furcoides	573683
Ceratium fusus	109951
Ceratium minutum	109969
Ceratoneis closterium	163932
Chaetoceros seiracanthus	163118
Chaetoceros cinctus	149622
Chaetoceros radians	149293
Chaetoceros seriacanthus	616463
Chlamydocapsa	178928
Chlamydocapsa planctonica	178930
Chlamydomonadales	732333
Chlorophyta	801
Chrysidiastrum	248109
Chrysidiastrum catenatum	571996
Chrysochromulina parva	571998
Chrysococcus cordiformis	610225
Chrysolykos	571999
Chrysolykos planctonicus	572000
Chrysolykos skujae	578264
Chrysophyceae	146230
Cladopyxis	109509
Closterium limneticum	611029
Coccolithales	493821
Coccolithophyceae	592906
Comasiella arcuata	578364
Corethron	149109
Corethron criophilum	149110
Corethron pennatum	341496
Corymbellus	162518
Corymbellus aureus	162519
Coscinodiscophyceae	148900
Craticula cuspidata	163907
Crucigenia	178617
Crucigeniella	172484
Cyclotrichium	341295
Cylindrotheca	149003
Cymatopleura	149007
Cymbomonas	134527
Desmarella	105532
Desmatractum	601041
Desmidium	592884
Desmodesmus quadricauda	622762
Diatomophyceae	478546
Dictyosphaerium	178623
Dictyosphaerium ehrenbergianum	178625
Dimorphococcus lunatus	577831
Dinobryon suecicum var. longispinum	686238
Dinophyceae	19542
Dinophysis hastata	109627
Dinophyta	21005
Diplopsalis	109515
Diplopsalis acuta	573687
Ebria	118014
Entomoneis paludosa	163646
Epipyxis	248119
Epithemia	149026
Euastrum	577667
Eudorina	390664
Euglena allorgei	615687
Euglena hemichromata	163457
Euglenophyceae	19539
Eupodiscales	149660
Eutetramorus	601613
Favella ehrenbergii	235761
Flagellates	146222
Fragilaria fasciculata	176292
Fragilaria gaillonii	617736
Fragilaria nanana	624948
Fragilaria striatula	157458
Fragilaria tenera	609814
Fragilaria ulna	149029
Fragilaria ulna var. acus	176208
Fragilariopsis	149313
Glenodinium pilula	571649
Glochidinium penardiforme	838142
Gomphonema	149553
Goniochloris	600926
Goniochloris contorta	610067
Goniochloris fallax	610068
Gonyaulacales	109391
Gonyaulax catenata	233365
