source_field	include_value	exclude_value	comments
			
sampler_type_code		MOCNESS	
sampler_type_code		WP-3	
sampler_type_code		SUSE-TS	
			
dataset_name	SHARK_Zoobenthos_2019_UMSC		
dataset_name	SHARK_Zoobenthos_2019_DEEP_HAV		
dataset_name	SHARK_Zoobenthos_2019_DEEP_HAV_Asko		
dataset_name	SHARK_Zoobenthos_2018_UMSC		
dataset_name	SHARK_Zoobenthos_2018_LNU		
dataset_name	SHARK_Zoobenthos_2018_GU		
dataset_name	SHARK_Zoobenthos_2018_DEEP		
dataset_name	SHARK_Zoobenthos_2018_DEEP_Asko		
dataset_name	SHARK_Zoobenthos_2017_UMSC		
dataset_name	SHARK_Zoobenthos_2017_SLC-T		
dataset_name	SHARK_Zoobenthos_2017_LNU		
dataset_name	SHARK_Zoobenthos_2017_DEEP		
dataset_name	SHARK_Zoobenthos_2017_DEEP_Asko		
dataset_name	SHARK_Zoobenthos_2016_UMSC		
dataset_name	SHARK_Zoobenthos_2016_SLC-T		
dataset_name	SHARK_Zoobenthos_2016_LNU		
dataset_name	SHARK_Zoobenthos_2016_DEEP		
dataset_name	SHARK_Zoobenthos_2015_UMSC		
dataset_name	SHARK_Zoobenthos_2015_SLC-T		
dataset_name	SHARK_Zoobenthos_2015_DEEP		
dataset_name	SHARK_Zoobenthos_2014_UMSC		
dataset_name	SHARK_Zoobenthos_2014_SLC-T		
dataset_name	SHARK_Zoobenthos_2014_DEEP		
dataset_name	SHARK_Zoobenthos_2013_UMSC		
dataset_name	SHARK_Zoobenthos_2013_SLC-K		
dataset_name	SHARK_Zoobenthos_2013_DEEP		
dataset_name	SHARK_Zoobenthos_2012_UMSC		
dataset_name	SHARK_Zoobenthos_2012_SUSE		
dataset_name	SHARK_Zoobenthos_2011_UMSC		
dataset_name	SHARK_Zoobenthos_2011_SUSE		
dataset_name	SHARK_Zoobenthos_2011_KMRS		
dataset_name	SHARK_Zoobenthos_2011_KMRS_NAT_extra		
dataset_name	SHARK_Zoobenthos_2010_UMSC		
dataset_name	SHARK_Zoobenthos_2010_KMRS		
dataset_name	SHARK_Zoobenthos_2009_UMSC_Nationella		
dataset_name	SHARK_Zoobenthos_2009_KMRS		
dataset_name	SHARK_Zoobenthos_2008_UMSC		
dataset_name	SHARK_Zoobenthos_2008_KMRS		
dataset_name	SHARK_Zoobenthos_2007_UMSC		
dataset_name	SHARK_Zoobenthos_2007_KMRS		
dataset_name	SHARK_Zoobenthos_2007_2016_DEEP_Asko		
dataset_name	SHARK_Zoobenthos_2007_2010_SUSE_Nat		
dataset_name	SHARK_Zoobenthos_2006_UMSC		
dataset_name	SHARK_Zoobenthos_2006_KMRS		
dataset_name	SHARK_Zoobenthos_2005_UMSC		
dataset_name	SHARK_Zoobenthos_2005_KMRS		
dataset_name	SHARK_Zoobenthos_2004_UMSC		
dataset_name	SHARK_Zoobenthos_2004_KMRS		
dataset_name	SHARK_Zoobenthos_2003_UMSC		
dataset_name	SHARK_Zoobenthos_2003_KMRS		
dataset_name	SHARK_Zoobenthos_2002_UMSC		
dataset_name	SHARK_Zoobenthos_2002_KMRS		
dataset_name	SHARK_Zoobenthos_2001_UMSC		
dataset_name	SHARK_Zoobenthos_2001_KMRS		
dataset_name	SHARK_Zoobenthos_2000_UMSC		
dataset_name	SHARK_Zoobenthos_2000_KMRS		
dataset_name	SHARK_Zoobenthos_1999_KMRS		
dataset_name	SHARK_Zoobenthos_1998_KMRS		
dataset_name	SHARK_Zoobenthos_1997_KMRS		
dataset_name	SHARK_Zoobenthos_1996_KMRS		
dataset_name	SHARK_Zoobenthos_1995_KMRS		
dataset_name	SHARK_Zoobenthos_1994_KMRS		
dataset_name	SHARK_Zoobenthos_1993_KMRS		
dataset_name	SHARK_Zoobenthos_1992_KMRS		
dataset_name	SHARK_Zoobenthos_1991_KMRS		
dataset_name	SHARK_Zoobenthos_1990_KMRS		
dataset_name	SHARK_Zoobenthos_1990_1999_UMSC		
dataset_name	SHARK_Zoobenthos_1989_UMSC		
dataset_name	SHARK_Zoobenthos_1989_KMRS		
dataset_name	SHARK_Zoobenthos_1988_UMSC		
dataset_name	SHARK_Zoobenthos_1988_KMRS		
dataset_name	SHARK_Zoobenthos_1987_UMSC		
dataset_name	SHARK_Zoobenthos_1987_KMRS		
dataset_name	SHARK_Zoobenthos_1986_UMSC		
dataset_name	SHARK_Zoobenthos_1986_KMRS		
dataset_name	SHARK_Zoobenthos_1985_UMSC		
dataset_name	SHARK_Zoobenthos_1985_KMRS		
dataset_name	SHARK_Zoobenthos_1984_UMSC		
dataset_name	SHARK_Zoobenthos_1984_KMRS		
dataset_name	SHARK_Zoobenthos_1983_UMSC		
dataset_name	SHARK_Zoobenthos_1983_KMRS		
dataset_name	SHARK_Zoobenthos_1977_2008_KMRS_Alsback		
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_Asko		
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_2		
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_1		
