source_field	include_value	exclude_value	exclude_value_dropvideo	exclude_value_other	filter_group_id	comments

# National-dropvideo-other data to be excluded in this export

dataset_name		SHARK_Epibenthos_1992_2018_DEEP_Asko				
dataset_name		SHARK_Epibenthos_1993_TMBL				
dataset_name				SHARK_Epibenthos_1994_2015_TOXICO_ZOSTERA		
dataset_name		SHARK_Epibenthos_1994_TMBL				
dataset_name	SHARK_Epibenthos_1995_2012_LNU_Hanobukten					
dataset_name		SHARK_Epibenthos_1995_TMBL				
dataset_name		SHARK_Epibenthos_1996_TMBL				
dataset_name	SHARK_Epibenthos_1997_2003_LNU_Hanobuktendiv					
dataset_name		SHARK_Epibenthos_1997_TMBL				
dataset_name		SHARK_Epibenthos_1998_TMBL				
dataset_name		SHARK_Epibenthos_1999_TMBL				
dataset_name		SHARK_Epibenthos_2000_2005_TMBL				
dataset_name		SHARK_Epibenthos_2000_2020_DEEP_Gotland				
dataset_name	SHARK_Epibenthos_2000_OLST_PaterNoster					
dataset_name	SHARK_Epibenthos_2000_OLST_Vrango					
dataset_name	SHARK_Epibenthos_2000_XLST					
dataset_name	SHARK_Epibenthos_2001_2007_ACLST_TrendKronoren					
dataset_name	SHARK_Epibenthos_2001_2011_TOXICO					
dataset_name	SHARK_Epibenthos_2001_2012_LNU_Kalmarlan					
dataset_name	SHARK_Epibenthos_2002_2008_XLST					
dataset_name	SHARK_Epibenthos_2002_LNU_Simpevarp					
dataset_name	SHARK_Epibenthos_2004_2007_ACLST_TrendHolmoarna					
dataset_name	SHARK_Epibenthos_2005_XLST					
dataset_name	SHARK_Epibenthos_2006_2009_LNU_BasinvKalmar					
dataset_name	SHARK_Epibenthos_2006_ABLST_SVENSKAHOGARNA					
dataset_name	SHARK_Epibenthos_2006_ACLST_NaturvardesinventeringOrefjarden					
dataset_name	SHARK_Epibenthos_2006_ILST					
dataset_name	SHARK_Epibenthos_2006_OLST_Vinga_Foto					
dataset_name		SHARK_Epibenthos_2006_TMBL				
dataset_name	SHARK_Epibenthos_2006_XLST					
dataset_name	SHARK_Epibenthos_2006_YLST_SVVF					
dataset_name	SHARK_Epibenthos_2007_2008_XLST					
dataset_name	SHARK_Epibenthos_2007_2010_MLST					
dataset_name	SHARK_Epibenthos_2007_ABLST_NATTARO					
dataset_name	SHARK_Epibenthos_2007_ABLST_SINGO					
dataset_name	SHARK_Epibenthos_2007_ABLST_STORANASSA					
dataset_name	SHARK_Epibenthos_2007_ABLST_VILLINGEBOSKAPSO					
dataset_name	SHARK_Epibenthos_2007_ACLST_Basinventering					
dataset_name	SHARK_Epibenthos_2007_ACLST_NaturvardesinventeringOstnas					
dataset_name	SHARK_Epibenthos_2007_ACLST_Tavasten					
dataset_name	SHARK_Epibenthos_2007_AQBI					
dataset_name	SHARK_Epibenthos_2007_BDLST					
dataset_name	SHARK_Epibenthos_2007_BDLST_Naturvarde					
dataset_name	SHARK_Epibenthos_2007_DLST_a					
dataset_name	SHARK_Epibenthos_2007_DLST_b					
dataset_name		SHARK_Epibenthos_2007_LNU				
dataset_name		SHARK_Epibenthos_2007_TMBL_Kattegatt				
dataset_name		SHARK_Epibenthos_2007_UGMET				
dataset_name	SHARK_Epibenthos_2007_XLST					
dataset_name	SHARK_Epibenthos_2007_YLST					
dataset_name	SHARK_Epibenthos_2007_YLST_BAS					
dataset_name	SHARK_Epibenthos_2008_2010_LNU_OKGsimpevarp					
dataset_name	SHARK_Epibenthos_2008_2011_BDLST					
dataset_name		SHARK_Epibenthos_2008_2015_DEEP_Vasternorrland				
dataset_name	SHARK_Epibenthos_2008_ABLST_FJARDLANG					
dataset_name	SHARK_Epibenthos_2008_ABLST_GALO					
dataset_name	SHARK_Epibenthos_2008_ABLST_HALSINGEHOLM					
dataset_name	SHARK_Epibenthos_2008_ABLST_HJALMO					
dataset_name	SHARK_Epibenthos_2008_ABLST_LILLANASSA					
dataset_name	SHARK_Epibenthos_2008_ABLST_SANDEMAR					
dataset_name	SHARK_Epibenthos_2008_ABLST_SUNDBY					
dataset_name	SHARK_Epibenthos_2008_ABLST_TULLVIKSBACKEN					
dataset_name	SHARK_Epibenthos_2008_ACLST_JuvikenLillhavet					
dataset_name	SHARK_Epibenthos_2008_ACLST_NaturvardesinvKinnbacksfjarden					
dataset_name	SHARK_Epibenthos_2008_ACLST_Trend_Holmoarna					
dataset_name	SHARK_Epibenthos_2008_AQBI					
dataset_name	SHARK_Epibenthos_2008_DLST					
dataset_name	SHARK_Epibenthos_2008_HAFOK_SvaFalkDyk					
dataset_name	SHARK_Epibenthos_2008_HAFOK_SvaFalkVideo					
dataset_name	SHARK_Epibenthos_2008_HAFOK_Svbjorn					
dataset_name	SHARK_Epibenthos_2008_HAFOK_UMFDyk					
dataset_name		SHARK_Epibenthos_2008_LNU				
dataset_name	SHARK_Epibenthos_2008_OLST_Basinventering_Marstrand					
dataset_name	SHARK_Epibenthos_2008_OLST_Nordrealv					
dataset_name	SHARK_Epibenthos_2008_SVVAEK					
dataset_name		SHARK_Epibenthos_2008_UGMET_Kattegatt				
dataset_name		SHARK_Epibenthos_2008_UGMET_Skagerrak				
dataset_name	SHARK_Epibenthos_2008_XLST_a					
dataset_name	SHARK_Epibenthos_2008_XLST_b					
dataset_name	SHARK_Epibenthos_2008_YLST_a					
dataset_name	SHARK_Epibenthos_2008_YLST_b					
dataset_name	SHARK_Epibenthos_2008_YLST_Fiskodlingar					
dataset_name				SHARK_Epibenthos_2009_2010_HAFOK_ROV		
dataset_name	SHARK_Epibenthos_2009_2010_HAFOK_VkustDyk					
dataset_name	SHARK_Epibenthos_2009_ACLST_Avanaset					
dataset_name	SHARK_Epibenthos_2009_ACLST_Bjuroklubb					
dataset_name	SHARK_Epibenthos_2009_ACLST_Holmoarna					
dataset_name	SHARK_Epibenthos_2009_ACLST_Ultra					
dataset_name	SHARK_Epibenthos_2009_AQBI_ELST					
dataset_name	SHARK_Epibenthos_2009_AQBI_YLST					
dataset_name	SHARK_Epibenthos_2009_CLST					
dataset_name	SHARK_Epibenthos_2009_DLST					
dataset_name	SHARK_Epibenthos_2009_ELST					
dataset_name	SHARK_Epibenthos_2009_HAFOK_Bottenhavet					
dataset_name	SHARK_Epibenthos_2009_HAFOK_HanoUtklippan					
dataset_name	SHARK_Epibenthos_2009_ILST					
dataset_name	SHARK_Epibenthos_2009_ILST_REG					
dataset_name		SHARK_Epibenthos_2009_LNU				
dataset_name	SHARK_Epibenthos_2009_LNU_MatkampKarlsk					
dataset_name	SHARK_Epibenthos_2009_MLST_Matkampanjen					
dataset_name	SHARK_Epibenthos_2009_NLST_Makrofytkampanjen					
dataset_name	SHARK_Epibenthos_2009_OLST_Halsefjord					
dataset_name	SHARK_Epibenthos_2009_OLST_Matkampanjen_Ask_Marst					
dataset_name	SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn					
dataset_name	SHARK_Epibenthos_2009_OLST_Stigfjord					
dataset_name	SHARK_Epibenthos_2009_OLST_Vrango					
dataset_name	SHARK_Epibenthos_2009_SVVAEK					
dataset_name	SHARK_Epibenthos_2009_SVVAEK_Jarflotta					
dataset_name	SHARK_Epibenthos_2009_SVVAEK_Namdo					
dataset_name	SHARK_Epibenthos_2009_SVVAEK_Naturhamn					
dataset_name		SHARK_Epibenthos_2009_UGMET_Kattegatt				
dataset_name		SHARK_Epibenthos_2009_UGMET_Skagerrak				
dataset_name	SHARK_Epibenthos_2009_XLST_a					
dataset_name	SHARK_Epibenthos_2009_XLST_b					
dataset_name	SHARK_Epibenthos_2009_XLST_c					
dataset_name	SHARK_Epibenthos_2009_XLST_d					
dataset_name	SHARK_Epibenthos_2009_XLST_e					
dataset_name	SHARK_Epibenthos_2009_YLST					
dataset_name	SHARK_Epibenthos_2009_YLST_MARDYK					
dataset_name	SHARK_Epibenthos_2010_2013_NLST					
dataset_name	SHARK_Epibenthos_2010_2019_KLST					
dataset_name	SHARK_Epibenthos_2010_ACLST_Trend_Holmoarna					
dataset_name	SHARK_Epibenthos_2010_AQBI_Sodermanland					
dataset_name	SHARK_Epibenthos_2010_GBGKOM					
dataset_name	SHARK_Epibenthos_2010_ILST					
dataset_name		SHARK_Epibenthos_2010_LNU				
dataset_name				SHARK_Epibenthos_2010_OLST_ROV_Gullmarn		
dataset_name	SHARK_Epibenthos_2010_SVVAEK					
dataset_name	SHARK_Epibenthos_2010_SVVAEK_Dlan_MarVeg					
dataset_name	SHARK_Epibenthos_2010_SVVAEK_Haninge					
dataset_name	SHARK_Epibenthos_2010_SVVAEK_StockSkarg					
dataset_name		SHARK_Epibenthos_2010_UGMET_Kattegatt				
dataset_name		SHARK_Epibenthos_2010_UGMET_Skagerrak				
dataset_name	SHARK_Epibenthos_2011_2012_SVVAEK					
dataset_name	SHARK_Epibenthos_2011_ACLST_Holmoarna					
dataset_name	SHARK_Epibenthos_2011_AQBI_MARMONI					
dataset_name	SHARK_Epibenthos_2011_AQBI_Stockholm					
dataset_name		SHARK_Epibenthos_2011_LNU				
dataset_name	SHARK_Epibenthos_2011_NATVAT					
dataset_name	SHARK_Epibenthos_2011_OLST_Idefjorden					
dataset_name	SHARK_Epibenthos_2011_OLST_Maseskar					
dataset_name	SHARK_Epibenthos_2011_OLST_Soteskar					
dataset_name	SHARK_Epibenthos_2011_SVVAEK					
dataset_name	SHARK_Epibenthos_2011_SVVAEK_BalticSea2020					
dataset_name	SHARK_Epibenthos_2011_SVVAEK_HanKom					
dataset_name	SHARK_Epibenthos_2011_SVVAEK_Nacka					
dataset_name		SHARK_Epibenthos_2011_UGMET_Kattegatt				
dataset_name		SHARK_Epibenthos_2011_UGMET_Skagerrak				
dataset_name				SHARK_Epibenthos_2012_2013_OLST_ROV_Koster		
dataset_name	SHARK_Epibenthos_2012_2013_WATERS					
dataset_name	SHARK_Epibenthos_2012_ACLST_Holmoarna					
dataset_name	SHARK_Epibenthos_2012_ACLST_REVochSANDBANKAR					
dataset_name	SHARK_Epibenthos_2012_AQBI_BJARE					
dataset_name	SHARK_Epibenthos_2012_AQBI_Skane_Kartering					
dataset_name	SHARK_Epibenthos_2012_HAFOK_Orust_Tjorn					
dataset_name	SHARK_Epibenthos_2012_HAFOK_Ostergotland					
dataset_name		SHARK_Epibenthos_2012_LNU				
dataset_name	SHARK_Epibenthos_2012_LNU_Blekinge					
dataset_name	SHARK_Epibenthos_2012_NATVAT					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_Bjornofjarden					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_ELST					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_Fjallsviksviken					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_Hanobukten					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_LVVF					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_NOhalsingland					
dataset_name	SHARK_Epibenthos_2012_SVVAEK_Skarposundet					
dataset_name		SHARK_Epibenthos_2012_UGBEST_Kattegatt				
dataset_name		SHARK_Epibenthos_2012_UGBEST_Skagerack				
dataset_name				SHARK_Epibenthos_2012_WATERS		
dataset_name	SHARK_Epibenthos_2012_XLST					
dataset_name	SHARK_Epibenthos_2012-2020_PELA_GVVF_Gavle					
dataset_name	SHARK_Epibenthos_2012-2020_PELA_GVVF_Norrsundet					
dataset_name	SHARK_Epibenthos_2013_ACLST					
dataset_name	SHARK_Epibenthos_2013_Litoralis_ELST					
dataset_name		SHARK_Epibenthos_2013_LNU				
dataset_name	SHARK_Epibenthos_2013_LNU_KALMAR					
dataset_name	SHARK_Epibenthos_2013_OLST_Bratten					
dataset_name		SHARK_Epibenthos_2013_SLC-T_Kattegatt				
dataset_name		SHARK_Epibenthos_2013_SLC-T_Skagerack				
dataset_name	SHARK_Epibenthos_2013_SVVAEK_Bjornofjarden					
dataset_name	SHARK_Epibenthos_2013_SVVAEK_Fjallsviksviken					
dataset_name	SHARK_Epibenthos_2013_SVVAEK_Hanobukten					
dataset_name	SHARK_Epibenthos_2013_SVVAEK_Skarposundet					
dataset_name				SHARK_Epibenthos_2013_WATERS		
dataset_name	SHARK_Epibenthos_2013_YLST					
dataset_name				SHARK_Epibenthos_2014_2015_OLST_ROV_Biogena		
dataset_name	SHARK_Epibenthos_2014_CALLUN_Edsviken					
dataset_name	SHARK_Epibenthos_2014_Litoralis_ELST					
