source_field	include_value	exclude_value	filter_group_id	comments
			
# Reg-recip-proj data to be excluded in this export
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_1			
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_2			
dataset_name	SHARK_Zoobenthos_1971_2006_SUSE_Asko			
dataset_name		SHARK_Zoobenthos_1972_1993_SLU		
dataset_name		SHARK_Zoobenthos_1972_1993_SLU		
dataset_name	SHARK_Zoobenthos_1977_2008_KMRS_Alsback			
dataset_name	SHARK_Zoobenthos_1979_1997_UMSC_BMP			
dataset_name		SHARK_Zoobenthos_1980_2008_XLST_Ljusnefjarden		
dataset_name		SHARK_Zoobenthos_1981_1989_LNU_Borgholm		
dataset_name		SHARK_Zoobenthos_1981_1989_LNU_Kalmar		
dataset_name		SHARK_Zoobenthos_1981_2013_UMSC_Holmo		
dataset_name	SHARK_Zoobenthos_1983_1994_UMSC			
dataset_name	SHARK_Zoobenthos_1983_1997_UMSC			
dataset_name		SHARK_Zoobenthos_1983_2000_LNU_fiskodling		
dataset_name	SHARK_Zoobenthos_1983_KMRS			
dataset_name	SHARK_Zoobenthos_1984_KMRS			
dataset_name	SHARK_Zoobenthos_1985_KMRS			
dataset_name	SHARK_Zoobenthos_1986_KMRS			
dataset_name		SHARK_Zoobenthos_1987_1989_LNU_Hanobukten		
dataset_name		SHARK_Zoobenthos_1987_1992_XLST_Iggesund		
dataset_name	SHARK_Zoobenthos_1987_KMRS			
dataset_name		SHARK_Zoobenthos_1988_2007_XLST_Norrsundet		
dataset_name		SHARK_Zoobenthos_1988_2008_XLST_Gavle_fjardar		
dataset_name		SHARK_Zoobenthos_1988_2008_XLST_Soderhamnsfj		
dataset_name	SHARK_Zoobenthos_1988_KMRS			
dataset_name		SHARK_Zoobenthos_1989_2010_LNU_BKVF		
dataset_name		SHARK_Zoobenthos_1989_2010_LNU_VHVVF		
dataset_name	SHARK_Zoobenthos_1989_KMRS			
dataset_name		SHARK_Zoobenthos_1989_LNU_BMP		
dataset_name		SHARK_Zoobenthos_1990_1991_LNU_PMK		
dataset_name		SHARK_Zoobenthos_1990_1999_LNU_Kalmar		
dataset_name	SHARK_Zoobenthos_1990_KMRS			
dataset_name	SHARK_Zoobenthos_1991_KMRS 			
dataset_name		SHARK_Zoobenthos_1992_2012_HAFOK_ABLST		
dataset_name	SHARK_Zoobenthos_1992_KMRS			
dataset_name	SHARK_Zoobenthos_1993_KMRS			
dataset_name	SHARK_Zoobenthos_1994_KMRS			
dataset_name		SHARK_Zoobenthos_1994_NLST		
dataset_name	SHARK_Zoobenthos_1995_1997_UMSC			
dataset_name		SHARK_Zoobenthos_1995_2006_LNU_Tvegolja		
dataset_name		SHARK_Zoobenthos_1995_HBGMILJO		
dataset_name	SHARK_Zoobenthos_1995_KMRS			
dataset_name		SHARK_Zoobenthos_1995_LNU_Sturko		
dataset_name		SHARK_Zoobenthos_1995_NLST		
dataset_name		SHARK_Zoobenthos_1996_HBGMILJO		
dataset_name	SHARK_Zoobenthos_1996_KMRS			
dataset_name		SHARK_Zoobenthos_1996_LNU_Kartering		
dataset_name		SHARK_Zoobenthos_1996_NLST		
dataset_name		SHARK_Zoobenthos_1997_2005_LNU_StillerydKofsa		
dataset_name		SHARK_Zoobenthos_1997_HBGMILJO		
dataset_name	SHARK_Zoobenthos_1997_KMRS			
dataset_name		SHARK_Zoobenthos_1997_LNU_BlekingeKust		
dataset_name		SHARK_Zoobenthos_1997_NLST		
dataset_name		SHARK_Zoobenthos_1998_1999_LNU_Solvesborg		
dataset_name	SHARK_Zoobenthos_1998_2014_UMSC			
dataset_name		SHARK_Zoobenthos_1998_2014_UMSC_REG		
dataset_name		SHARK_Zoobenthos_1998_HBGMILJO		
dataset_name	SHARK_Zoobenthos_1998_KMRS			
dataset_name		SHARK_Zoobenthos_1998_NLST		
dataset_name		SHARK_Zoobenthos_1998_XLST_Gavle_fjardar		
dataset_name		SHARK_Zoobenthos_1999_HBGMILJO		
dataset_name	SHARK_Zoobenthos_1999_KMRS			
dataset_name		SHARK_Zoobenthos_1999_NLST		
dataset_name		SHARK_Zoobenthos_1999_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2000_2010_TOXICO_Nordvastskane		
