scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification	lsid
Actiniidae	Rafinesque, 1815	Family	100653	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100653	Actinioidea	853973	accepted	100653	Actiniidae	Rafinesque, 1815	Animalia	Cnidaria	Hexacorallia	Actiniaria	Actiniidae		[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae	urn:lsid:marinespecies.org:taxname:100653
Edwardsiidae	Andres, 1881	Family	100665	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100665	Edwardsioidea	888373	accepted	100665	Edwardsiidae	Andres, 1881	Animalia	Cnidaria	Hexacorallia	Actiniaria	Edwardsiidae		[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae	urn:lsid:marinespecies.org:taxname:100665
Sagartiidae	Gosse, 1858	Family	100681	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100681	Metridioidea	854224	accepted	100681	Sagartiidae	Gosse, 1858	Animalia	Cnidaria	Hexacorallia	Actiniaria	Sagartiidae		[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae	urn:lsid:marinespecies.org:taxname:100681
Cerianthidae	Milne Edwards & Haime, 1851	Family	100684	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100684	Spirularia	151646	accepted	100684	Cerianthidae	Milne Edwards & Haime, 1851	Animalia	Cnidaria	Hexacorallia	Ceriantharia	Cerianthidae		[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Ceriantharia - [Suborder] Spirularia - [Family] Cerianthidae	urn:lsid:marinespecies.org:taxname:100684
Urticina	Ehrenberg, 1834	Genus	100706	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100706	Actiniidae	100653	accepted	100706	Urticina	Ehrenberg, 1834	Animalia	Cnidaria	Hexacorallia	Actiniaria	Actiniidae	Urticina	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina	urn:lsid:marinespecies.org:taxname:100706
Sagartiogeton	Carlgren, 1924	Genus	100777	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100777	Sagartiidae	100681	accepted	100777	Sagartiogeton	Carlgren, 1924	Animalia	Cnidaria	Hexacorallia	Actiniaria	Sagartiidae	Sagartiogeton	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartiogeton	urn:lsid:marinespecies.org:taxname:100777
Cerianthus	Delle Chiaje, 1841	Genus	100782	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100782	Cerianthidae	100684	accepted	100782	Cerianthus	Delle Chiaje, 1841	Animalia	Cnidaria	Hexacorallia	Ceriantharia	Cerianthidae	Cerianthus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Ceriantharia - [Suborder] Spirularia - [Family] Cerianthidae - [Genus] Cerianthus	urn:lsid:marinespecies.org:taxname:100782
Pachycerianthus	Roule, 1904	Genus	100783	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100783	Cerianthidae	100684	accepted	100783	Pachycerianthus	Roule, 1904	Animalia	Cnidaria	Hexacorallia	Ceriantharia	Cerianthidae	Pachycerianthus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Ceriantharia - [Suborder] Spirularia - [Family] Cerianthidae - [Genus] Pachycerianthus	urn:lsid:marinespecies.org:taxname:100783
Bolocera tuediae	(Johnston, 1832)	Species	100817	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100817	Bolocera	100698	accepted	100817	Bolocera tuediae	(Johnston, 1832)	Animalia	Cnidaria	Hexacorallia	Actiniaria	Actiniidae	Bolocera	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Bolocera - [Species] Bolocera tuediae	urn:lsid:marinespecies.org:taxname:100817
Urticina eques	(Gosse, 1858)	Species	100833	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100833	Urticina	100706	accepted	100833	Urticina eques	(Gosse, 1858)	Animalia	Cnidaria	Hexacorallia	Actiniaria	Actiniidae	Urticina	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Subphylum] Anthozoa - [Class] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina - [Species] Urticina eques	urn:lsid:marinespecies.org:taxname:100833
