source_field	from_value	to_value	comments

#unit	g/analysed sample fraction	Grams
#unit	ind/analysed sample fraction	Numbers
#unit	ind/m2	Number per square metre
#unit	ind/l or 100 um pieces/l	Number per litre
#unit	ugC/l	Micrograms per litre


#parameter	# counted	Count (in assayed sample) of biological entity specified elsewhere
#parameter	Wet weight	Wet weight biomass (in assayed sample) of biological entity specified elsewhere
#parameter	Wet weight/area	Wet weight biomass of biological entity specified elsewhere per unit area of the bed
#parameter	Wet weight/volume	Wet weight biomass of biological entity specified elsewhere per unit volume of the water body
#parameter	Dry weight	Dry weight biomass (in assayed sample) of biological entity specified elsewhere
#parameter	Carbon concentration	Carbon biomass of phytoplankton per unit volume of the water body
#parameter	Biovolume concentration	Wet weight biomass of phytoplankton per unit volume of the water body by optical microscopy and computation by morphometric method

trophic_type_code	AU	autotrophic
trophic_type_code	HT	heterotrophic
trophic_type_code	MX	heterotrophic+autotrophic

sex_code	F	female
sex_code	M	male
sex_code	U	indeterminate

sex_code	X	male+female
sex_code	H	hermaphrodite

dev_stage_code	JV	juvenile
dev_stage_code	NP	nauplii
dev_stage_code	AD	adult
dev_stage_code	C1	copepodites C1
dev_stage_code	C2	copepodites C2
dev_stage_code	C3	copepodites C3
dev_stage_code	C4	copepodites C4
dev_stage_code	C5	copepodites C5
dev_stage_code	C1-C3	copepodites C1-3
dev_stage_code	C4-C5	copepodites C4-5
dev_stage_code	EG	egg
dev_stage_code	IM	immature
dev_stage_code	LV	larvae
dev_stage_code	NS	not specified

dev_stage_code	CN	copepodites

