source_field	dwc_field	from_value	to_value	comments
size_min_um		0	>0

bvol_scientific_name		Algae	Biota
scientific_name		Algae	Biota

scientific_name		Snowella/Woronichinia	Cyanophyceae
scientific_name		Cylindrotheca closterium/Nitzschia longissima	Bacillariaceae
scientific_name		Leptocylindrus danicus/Leptocylindrus minimus	Leptocylindrus
scientific_name		Gyrosigma/Pleurosigma	Pleurosigmataceae
scientific_name		Heterocapsa/Azadinium	Peridiniphycidae
scientific_name		Rhizosolenia/Pseudosolenia	Rhizosoleniaceae

scientific_name		Apocalathium	Scrippsiella
	scientificNameID	urn:lsid:marinespecies.org:taxname:1359178	urn:lsid:marinespecies.org:taxname:109545

	locality	TÃ¥ngesund	Tångesund
	verbatimLocality	TÃ¥ngesund	Tångesund

trophic_type_code		AU	Autotrophic
trophic_type_code		HT	Heterotrophic
trophic_type_code		MX	Mixotrophic
trophic_type_code		NS	Not specified

analysis_method_code		IMA-SW	Image analysis - software
analysis_method_code		IMA	Image analysis - manual
analysis_method_code		Image analysis	Image analysis - manual

monitoring_program_code		PROJ	Project data

platform_code		77SE	RV Svea

unit		ind/analysed sample fraction	Dimensionless
unit		ind/l or 100 um pieces/l	Individual per litre
